Close_nvidia,Volume_nvidia,Close_bitcoin,Volume_bitcoin
197.58,14066925,5590.689941,2399269888.0
197.8,14156573,5708.52002,1780540032.0
196.9,11006029,6011.450195,2354429952.0
196.62,10592416,5930.319824,2401840128.0
198.68,9820462,5526.640137,2735699968.0
193.66,20588601,5750.799805,1966989952.0
195.69,7892651,5904.830078,1905040000.0
201.86,14174171,5780.899902,1710130048.0
203.84,12522329,6130.529785,1772150016.0
206.81,10179802,6468.399902,2311379968.0
207.2,12385654,6767.310059,2870320128.0
205.94,8480413,7078.5,4653770240.0
208.69,8777981,7207.759766,3369860096.0
209.63,9693716,7022.759766,3111899904.0
212.03,10580672,7144.379883,2326340096.0
209.16,12911093,7459.689941,4602200064.0
205.32,20123846,7143.580078,3226249984.0
216.14,31197127,6618.140137,5208249856.0
212.63,14398431,6559.490234,6263249920.0
214.18,13101484,6635.75,3197110016.0
209.98,12427082,7315.540039,4200880128.0
211.61,9947915,7871.689941,5123809792.0
211.36,12702474,7708.990234,4651670016.0
214.08,9828414,8200.639648,3488450048.0
216.05,9858634,8071.259766,4277609984.0
214.93,8766814,8253.549805,3633530112.0
216.96,4517982,8253.69043,5058610176.0
214.14,10477983,9818.349609,5653320192.0
210.71,12677148,10058.799805,6348819968.0
196.42,34865791,9888.610352,11568799744.0
200.71,20564479,10233.599609,8310689792.0
197.68,20249432,10975.599609,6783119872.0
186.66,31021123,11657.200195,6132409856.0
187.74,24480558,11916.700195,6895260160.0
189.26,11464458,14291.5,12656300032.0
191.99,13190983,17899.699219,17950699520.0
191.49,11483868,16569.400391,21135998976.0
194.66,9106693,16936.800781,12153900032.0
190.84,11296559,17415.400391,14603799552.0
186.18,13744496,16408.199219,12976900096.0
186.47,10871746,16564.0,13777399808.0
191.56,16090200,17706.900391,14309999616.0
197.9,11730697,19114.199219,14839499776.0
196.11,9217358,17776.699219,16894499840.0
196.8,7185318,16624.599609,22149699584.0
195.89,7458634,15802.900391,16516599808.0
195.27,11613423,13831.799805,22197999616.0
197.44,8821296,16099.799805,13454300160.0
197.17,8097374,15838.5,12487600128.0
197.4,5978211,14606.5,12336499712.0
193.5,6896330,14656.200195,13025500160.0
199.35,8303752,14982.099609,16846600192.0
212.47,22499518,15201.0,16871900160.0
213.59,14346675,15599.200195,21783199744.0
215.4,14008768,17429.5,23840899072.0
222.0,21190932,15170.099609,18413899776.0
221.94,11750593,14595.400391,16659999744.0
223.68,14087612,14973.299805,18500800512.0
224.08,9812137,13405.799805,16534099968.0
222.98,8931936,13980.599609,12065699840.0
220.11,17104812,11490.5,18853799936.0
224.72,13112629,11188.599609,18830600192.0
224.44,10071489,11474.900391,15020399616.0
230.11,14544968,11607.400391,10740400128.0
233.69,9614659,10931.400391,10537400320.0
238.91,11293069,10868.400391,9660609536.0
235.8,14406492,11359.400391,9940989952.0
236.35,10105341,11259.400391,8873169920.0
243.33,12755309,11171.400391,9746199552.0
246.85,11282948,11296.400391,7107359744.0
242.72,14133180,10106.299805,8637859840.0
245.8,11818115,10221.099609,8041160192.0
240.5,12716271,9170.540039,9959400448.0
233.52,17794503,8830.75,12726899712.0
213.7,27907654,6955.27002,9285289984.0
225.58,26591746,7754.0,13999800320.0
228.8,19931234,7621.299805,9169280000.0
217.52,21664353,8265.589844,9346750464.0
232.08,41044898,8736.980469,6784820224.0
228.03,27179807,8926.570313,6256439808.0
232.63,15573359,8598.30957,5696719872.0
241.42,18453757,9494.629883,7909819904.0
246.5,17392024,10166.400391,9062540288.0
243.84,15812549,10233.900391,7296159744.0
249.08,17075723,11403.700195,9926540288.0
241.51,21021844,10690.400391,9405339648.0
242.15,12998992,10005.0,8040079872.0
245.93,10258215,10301.099609,7739500032.0
246.58,11145830,10366.700195,7287690240.0
246.06,11323269,10725.599609,6966179840.0
242.0,12950470,10397.900391,6936189952.0
232.21,26002972,10951.0,7317279744.0
236.54,22835685,11086.400391,7620590080.0
235.65,15519413,11573.299805,6468539904.0
242.16,15920243,10779.900391,6832169984.0
241.84,14530226,9965.570313,8797910016.0
241.18,10163665,9395.009766,7186089984.0
245.33,12580234,9337.549805,8704190464.0
249.76,15056073,9205.120117,6457399808.0
247.71,15408000,9194.849609,5991139840.0
248.74,12573947,8269.80957,6438230016.0
249.34,9992834,8300.860352,6834429952.0
250.48,9634107,8338.349609,5289379840.0
241.0,17472128,8630.650391,6729110016.0
249.58,13725505,8913.469727,6361789952.0
248.56,10841782,8929.280273,6043129856.0
241.85,13663927,8728.469727,5530390016.0
232.97,18225390,8879.620117,5954120192.0
244.48,15130542,8209.400391,5921039872.0
225.52,34462113,7833.040039,5378250240.0
221.35,23647648,7954.47998,4935289856.0
231.59,22915692,7165.700195,6361229824.0
221.05,23052315,7083.799805,4333440000.0
225.35,16685759,7456.109863,5499700224.0
226.24,19729161,6853.839844,4936000000.0
221.38,17530973,6811.470215,5639320064.0
